fuel,hour,value
Power,1,0.00592
Power,2,0.00748
Power,3,0.01019
Power,4,0.00984
Power,5,0.01023
Power,6,0.00943
Power,7,0.01087
Power,8,0.01064
Power,9,0.01138
Power,10,0.01104
Power,11,0.01001
Power,12,0.01037
Power,13,0.00952
Power,14,0.01003
Power,15,0.0091
Power,16,0.00897
Power,17,0.00831
Power,18,0.0073
Power,19,0.007
Power,20,0.00596
Power,21,0.00616
Power,22,0.00586
Power,23,0.00727
Power,24,0.00849
Power,25,0.00987
Power,26,0.01053
Power,27,0.00948
Power,28,0.00978
Power,29,0.00862
Power,30,0.0097
Power,31,0.00965
Power,32,0.01049
Power,33,0.01037
Power,34,0.00895
Power,35,0.00888
Power,36,0.00789
Power,37,0.00866
Power,38,0.00788
Power,39,0.00782
Power,40,0.00689
Power,41,0.00604
Power,42,0.00551
Power,43,0.00498
Power,44,0.00521
Power,45,0.00519
Power,46,0.0061
Power,47,0.00727
Power,48,0.009
Power,49,0.0091
Power,50,0.00775
Power,51,0.00786
Power,52,0.00806
Power,53,0.00978
Power,54,0.00948
Power,55,0.01035
Power,56,0.01039
Power,57,0.00903
Power,58,0.00846
Power,59,0.00708
Power,60,0.00798
Power,61,0.00752
Power,62,0.00799
Power,63,0.00729
Power,64,0.00642
Power,65,0.00575
Power,66,0.00507
Power,67,0.0052
Power,68,0.00507
Power,69,0.00556
Power,70,0.00633
Power,71,0.00747
Power,72,0.00879
Power,73,0.00809
Power,74,0.00864
Power,75,0.00812
Power,76,0.00972
Power,77,0.00969
Power,78,0.01053
Power,79,0.01034
Power,80,0.00901
Power,81,0.00879
Power,82,0.00791
Power,83,0.00914
Power,84,0.00897
Power,85,0.00958
Power,86,0.00894
Power,87,0.00776
Power,88,0.00681
Power,89,0.00572
Power,90,0.00572
Power,91,0.0054
Power,92,0.0058
Power,93,0.00616
Power,94,0.00729
Power,95,0.0089
Power,96,0.00847
Power,97,0.00939
Power,98,0.0087
Power,99,0.01074
Power,100,0.00993
Power,101,0.01106
Power,102,0.01111
Power,103,0.01055
Power,104,0.01021
Power,105,0.0091
Power,106,0.01071
Power,107,0.01083
Power,108,0.01191
Power,109,0.01156
Power,110,0.01033
Power,111,0.00968
Power,112,0.00826
Power,113,0.00806
Power,114,0.00719
Power,115,0.00723
Power,116,0.00686
Power,117,0.00625
Power,118,0.0054
Power,119,0.00486
Power,120,0.00466
Mobility,1,0.01015
Mobility,2,0.00934
Mobility,3,0.00894
Mobility,4,0.00855
Mobility,5,0.00974
Mobility,6,0.01096
Mobility,7,0.0143
Mobility,8,0.01819
Mobility,9,0.02041
Mobility,10,0.01907
Mobility,11,0.01387
Mobility,12,0.00934
Mobility,13,0.00586
Mobility,14,0.00371
Mobility,15,0.00239
Mobility,16,0.00123
Mobility,17,0.00102
Mobility,18,0.00102
Mobility,19,0.00123
Mobility,20,0.00178
Mobility,21,0.00239
Mobility,22,0.00441
Mobility,23,0.00894
Mobility,24,0.01137
Mobility,25,0.0122
Mobility,26,0.00934
Mobility,27,0.00894
Mobility,28,0.00855
Mobility,29,0.00974
Mobility,30,0.01096
Mobility,31,0.0143
Mobility,32,0.01819
Mobility,33,0.02041
Mobility,34,0.01907
Mobility,35,0.01387
Mobility,36,0.00934
Mobility,37,0.00586
Mobility,38,0.00371
Mobility,39,0.00239
Mobility,40,0.00123
Mobility,41,0.00102
Mobility,42,0.00102
Mobility,43,0.00123
Mobility,44,0.00178
Mobility,45,0.00239
Mobility,46,0.00441
Mobility,47,0.00894
Mobility,48,0.01137
Mobility,49,0.0122
Mobility,50,0.00934
Mobility,51,0.00894
Mobility,52,0.00855
Mobility,53,0.00974
Mobility,54,0.01096
Mobility,55,0.0143
Mobility,56,0.01819
Mobility,57,0.02041
Mobility,58,0.01907
Mobility,59,0.01387
Mobility,60,0.00934
Mobility,61,0.00586
Mobility,62,0.00371
Mobility,63,0.00239
Mobility,64,0.00123
Mobility,65,0.00102
Mobility,66,0.00102
Mobility,67,0.00123
Mobility,68,0.00178
Mobility,69,0.00239
Mobility,70,0.00441
Mobility,71,0.00894
Mobility,72,0.01137
Mobility,73,0.0122
Mobility,74,0.00934
Mobility,75,0.00894
Mobility,76,0.00855
Mobility,77,0.00974
Mobility,78,0.01096
Mobility,79,0.0143
Mobility,80,0.01819
Mobility,81,0.02041
Mobility,82,0.01907
Mobility,83,0.01387
Mobility,84,0.00934
Mobility,85,0.00586
Mobility,86,0.00371
Mobility,87,0.00239
Mobility,88,0.00123
Mobility,89,0.00102
Mobility,90,0.00102
Mobility,91,0.00123
Mobility,92,0.00178
Mobility,93,0.00239
Mobility,94,0.00441
Mobility,95,0.00894
Mobility,96,0.01137
Mobility,97,0.0122
Mobility,98,0.00934
Mobility,99,0.00894
Mobility,100,0.00855
Mobility,101,0.00974
Mobility,102,0.01096
Mobility,103,0.0143
Mobility,104,0.01819
Mobility,105,0.02041
Mobility,106,0.01907
Mobility,107,0.01387
Mobility,108,0.00934
Mobility,109,0.00586
Mobility,110,0.00371
Mobility,111,0.00239
Mobility,112,0.00123
Mobility,113,0.00102
Mobility,114,0.00102
Mobility,115,0.00123
Mobility,116,0.00178
Mobility,117,0.00239
Mobility,118,0.00441
Mobility,119,0.00894
Mobility,120,0.01199
Heat,1,0.01206
Heat,2,0.01388
Heat,3,0.01512
Heat,4,0.01592
Heat,5,0.01491
Heat,6,0.01584
Heat,7,0.01611
Heat,8,0.01529
Heat,9,0.01379
Heat,10,0.01252
Heat,11,0.0156
Heat,12,0.0194
Heat,13,0.02277
Heat,14,0.02181
Heat,15,0.01895
Heat,16,0.01768
Heat,17,0.01831
Heat,18,0.02208
Heat,19,0.02634
Heat,20,0.02836
Heat,21,0.02533
Heat,22,0.01973
Heat,23,0.01425
Heat,24,0.01306
Heat,25,0.016
Heat,26,0.01841
Heat,27,0.01722
Heat,28,0.01272
Heat,29,0.00936
Heat,30,0.00833
Heat,31,0.00756
Heat,32,0.00516
Heat,33,0.00412
Heat,34,0.0032
Heat,35,0.00439
Heat,36,0.00353
Heat,37,0.00415
Heat,38,0.00577
Heat,39,0.00571
Heat,40,0.00517
Heat,41,0.00443
Heat,42,0.00519
Heat,43,0.00492
Heat,44,0.00451
Heat,45,0.0054
Heat,46,0.0049
Heat,47,0.00326
Heat,48,0.00156
Heat,49,0.00097
Heat,50,0.00097
Heat,51,0.00097
Heat,52,0.00097
Heat,53,0.00097
Heat,54,0.00097
Heat,55,0.00097
Heat,56,0.00097
Heat,57,0.00139
Heat,58,0.00139
Heat,59,0.00139
Heat,60,0.00112
Heat,61,0.00117
Heat,62,0.00117
Heat,63,0.00117
Heat,64,0.00112
Heat,65,0.00112
Heat,66,0.00097
Heat,67,0.00097
Heat,68,0.00097
Heat,69,0.00097
Heat,70,0.00097
Heat,71,0.00097
Heat,72,0.00097
Heat,73,0.00097
Heat,74,0.00097
Heat,75,0.00097
Heat,76,0.00097
Heat,77,0.00097
Heat,78,0.00097
Heat,79,0.00097
Heat,80,0.00097
Heat,81,0.00097
Heat,82,0.00116
Heat,83,0.00118
Heat,84,0.00194
Heat,85,0.0022
Heat,86,0.00217
Heat,87,0.00244
Heat,88,0.00455
Heat,89,0.00757
Heat,90,0.00969
Heat,91,0.00902
Heat,92,0.00896
Heat,93,0.00723
Heat,94,0.00634
Heat,95,0.00488
Heat,96,0.00548
Heat,97,0.00707
Heat,98,0.00823
Heat,99,0.01036
Heat,100,0.00948
Heat,101,0.00894
Heat,102,0.00522
Heat,103,0.00481
Heat,104,0.00544
Heat,105,0.00962
Heat,106,0.01357
Heat,107,0.0177
Heat,108,0.01805
Heat,109,0.019
Heat,110,0.01617
Heat,111,0.01559
Heat,112,0.01177
Heat,113,0.01227
Heat,114,0.01371
Heat,115,0.01661
Heat,116,0.01696
Heat,117,0.01393
Heat,118,0.01344
Heat,119,0.01352
Heat,120,0.01529
