,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,8,0,0,0,0,0,0
5,0,0,0,10,89,129,93,15,0,0,0,0
6,0,0,14,215,364,389,344,246,110,14,0,0
7,0,33,399,789,927,937,890,791,632,335,41,0
8,231,648,1077,1466,1540,1554,1517,1450,1247,970,548,231
9,916,1286,1677,2038,2009,2051,2034,1994,1770,1434,1015,851
10,1241,1671,2048,2368,2340,2365,2385,2335,2090,1729,1245,1148
11,1454,1907,2289,2571,2474,2485,2528,2512,2323,1961,1467,1377
12,1558,2023,2433,2629,2488,2549,2576,2581,2357,2074,1523,1434
13,1471,2011,2362,2457,2328,2409,2428,2457,2184,1853,1356,1281
14,1188,1622,1975,2055,1989,2080,2126,2123,1824,1476,1019,950
15,676,1156,1464,1583,1558,1700,1729,1649,1338,977,534,368
16,47,517,906,1048,1054,1179,1240,1129,804,333,38,0
17,0,9,256,444,517,629,657,532,210,0,0,0
18,0,0,0,44,158,229,226,104,0,0,0,0
19,0,0,0,0,11,53,38,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0
