hour,value
4,0.177490009
5,0.139369627
6,0.110937776
25,0.141125898
26,0.432672063
27,0.610958058
28,0.66552206
29,0.660112649
30,0.583265991
31,0.516056559
32,0.385748395
33,0.19391809
34,0.040535954
47,0.032849749
48,0.238327859
49,0.394312266
50,0.522716213
51,0.656952466
52,0.681242268
53,0.681690179
54,0.630632316
55,0.538815486
56,0.490678228
57,0.282076813
58,0.178628999
71,0.031562936
72,0.17063683
73,0.374612405
74,0.526039302
75,0.652431874
76,0.704
77,0.675862
78,0.674066381
79,0.562773412
80,0.427728738
81,0.194481293
98,0.027045788
99,0.022507579
100,0.083057526
101,0.098291135
102,0.226241238
103,0.184877338
104,0.061381129
